Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-20 00:00:00-04:00,139.83790622702588,143.3860023478585,139.35053030452949,142.45997619628906,96350000,0.0,0.0
2021-07-21 00:00:00-04:00,141.8556653977963,142.4405225803077,140.97839449756518,141.72894287109375,74993500,0.0,0.0
2021-07-22 00:00:00-04:00,142.2553100922622,144.4582442706814,142.12858757198936,143.09359741210938,77338200,0.0,0.0
2021-07-23 00:00:00-04:00,143.8246641352954,144.96512221870486,143.21056560056124,144.8091583251953,71447400,0.0,0.0
2021-07-26 00:00:00-04:00,144.5264338354404,146.0470440562457,143.97081824593766,145.22825622558594,72434100,0.0,0.0
2021-07-27 00:00:00-04:00,145.35498894389306,145.44272791296905,141.87513262554674,143.0643310546875,104818600,0.0,0.0
2021-07-28 00:00:00-04:00,141.15382825419624,143.25929604709813,138.94113715127986,141.3195343017578,118931200,0.0,0.0
2021-07-29 00:00:00-04:00,141.03684881635502,142.8498878684949,140.92962551695572,141.96286010742188,56699500,0.0,0.0
2021-07-30 00:00:00-04:00,140.73466343435456,142.63542638578699,140.4714762953773,142.1772918701172,70440600,0.0,0.0
2021-08-02 00:00:00-04:00,142.66467417357075,143.23977416644965,141.5826990796388,141.84588623046875,62880000,0.0,0.0
2021-08-03 00:00:00-04:00,142.12859665195967,144.30228959895823,141.51449808960257,143.63946533203125,64786600,0.0,0.0
2021-08-04 00:00:00-04:00,143.55170433223327,144.05856456840556,142.5866946784069,143.23977661132812,56368300,0.0,0.0
2021-08-05 00:00:00-04:00,143.2690181917266,144.10730535100612,142.47947159810346,143.3470001220703,46397700,0.0,0.0
2021-08-06 00:00:00-04:00,142.8686463484262,143.61056217962263,142.16577244694983,142.66363525390625,54126800,0.22,0.0
2021-08-09 00:00:00-04:00,142.72225212556916,143.21035833317768,142.05843483321482,142.6148681640625,48908700,0.0,0.0
2021-08-10 00:00:00-04:00,142.9565505100319,144.196344465899,141.84366893661831,142.13653564453125,69023100,0.0,0.0
2021-08-11 00:00:00-04:00,142.57580253562702,143.22986295766566,142.0681679932176,142.39031982421875,48493500,0.0,0.0
2021-08-12 00:00:00-04:00,142.71246608285676,145.5044336133679,142.37078584930737,145.34823608398438,72282600,0.0,0.0
2021-08-13 00:00:00-04:00,145.42634081402107,145.88516176552068,144.74299521470792,145.55325317382812,59375000,0.0,0.0
2021-08-16 00:00:00-04:00,145.00657783567002,147.59354953492934,142.98582599022765,147.52520751953125,103296000,0.0,0.0
2021-08-17 00:00:00-04:00,146.65636676617194,148.07187159409528,145.5434853619502,146.61732482910156,92229700,0.0,0.0
2021-08-18 00:00:00-04:00,146.23660593235846,147.134719463398,142.67342208980006,142.87843322753906,86326000,0.0,0.0
2021-08-19 00:00:00-04:00,141.58005455752308,144.4794059910355,141.06266328178802,143.2103271484375,86960300,0.0,0.0
2021-08-20 00:00:00-04:00,143.93275769698107,144.96754045087513,143.28845394220284,144.6649169921875,60549600,0.0,0.0
2021-08-23 00:00:00-04:00,144.78206681885666,146.61735100093347,144.37205937525184,146.14877319335938,60131800,0.0,0.0
2021-08-24 00:00:00-04:00,145.89494350289067,147.27140659304087,145.60207679709836,146.06089782714844,48606400,0.0,0.0
2021-08-25 00:00:00-04:00,146.2464228000056,146.7443008123629,144.28424062750108,144.83091735839844,58991300,0.0,0.0
2021-08-26 00:00:00-04:00,144.82112485660906,145.5727977281921,144.00109506679658,144.03038024902344,48597200,0.0,0.0
2021-08-27 00:00:00-04:00,143.97180225819312,145.2115961914639,143.33727014912955,145.06517028808594,55802400,0.0,0.0
2021-08-30 00:00:00-04:00,145.45565533870288,149.83885461039787,145.07493307828,149.47764587402344,90956700,0.0,0.0
2021-08-31 00:00:00-04:00,149.02859613337498,149.16526528048843,147.69117494824357,148.2183380126953,86453100,0.0,0.0
